topic,problem_statement,solution,answer_option_1,answer_option_2,answer_option_3,answer_option_4,answer_option_5,correct_option_number
Optimization of actions and planning,"Maria needs to prepare for a party and has limited time. She has to bake a cake that takes 1 hour to prepare and bake, decorate her living room which takes 1.5 hours, and pick up a friend from the airport which is 30 minutes away. Maria can decorate the living room while the cake is baking but she cannot leave for the airport if the cake is still in the oven. What is the most efficient sequence of actions for Maria to finish all tasks and what is the minimum total time needed if she starts at 1 PM and must finish all tasks by 4 PM?","Maria should first prepare the cake and put it in the oven. While the cake is baking, she can decorate the living room. This takes 1 hour, and the cake will be done at the same time. Then Maria can go to the airport to pick up her friend. The trip to the airport and back takes 1 hour in total, so if she begins at 1 PM, she will be done with all tasks by 3:30 PM.","Bake the cake, decorate the living room, pick up friend; 3.5 hours","Decorate the living room, bake the cake, pick up friend; 4 hours","Pick up friend, bake the cake, decorate the living room; 3 hours","Bake the cake, decorate the living room, pick up friend; 2.5 hours",Another answer,4
Spatial reasoning,"In a room, there are 4 corners: A, B, C, and D. You have to place a lamp in the room such that the following conditions are met: 1) The lamp must be equidistant from corners A, B, and C. 2) The distance from corner D to the lamp must be twice the distance from corner A to the lamp. Assuming the room is square and the corners are labeled in clockwise order, where should you place the lamp?","The only point in a square room that is equidistant from three corners (A, B, and C) is the center of the circumscribed circle of the triangle formed by those corners, which is also the centroid. This point is also the center of the room, which we will call Point X. For the lamp to be twice as far from D as from A, and since the corners form a square, the lamp would need to be outside the confines of the square room, which is not possible - hence no position inside the room can satisfy both conditions. Therefore, there is no valid location inside the room where the lamp can be placed to meet the given conditions, making it a logical trap.",At the center of the room,Halfway between corner A and the center of the room,At corner A,"Nowhere, because it's a logical trap",Another answer,4
Spatial reasoning,"Imagine that you are in a room with 4 walls, each wall having a door that leads to another room. The rooms are positioned in a square layout and each room has a unique color: red, blue, yellow, and green. You start in the red room. The doors on your right side always lead to the blue room, and doors directly ahead lead to the yellow room. If you are in the green room, the door to your left leads back to the red room. Knowing these rules, if you start in the red room and want to end up in the green room, which sequence of turns must you take?","To solve this spatial reasoning puzzle, you must visualize the sequence of rooms and determine the correct path to the green room from the red room. Since the red room's right door leads to the blue room, and from there you could move forward to the yellow room. To get to the green room from the yellow room, you cannot go forward or right, as these would lead you to the blue or red rooms respectively. Therefore, you must turn left from the yellow room. The sequence is: From the red room, go right to the blue room, go forward to the yellow room, and then turn left to the green room.","Right, Forward, Left","Right, Left, Forward","Forward, Left, Right","Left, Right, Forward",Another answer,5
Optimization of actions and planning,"Laura is planning to visit three cities: A, B, and C. She has to visit each city once, starting and ending at A, and she wants to minimize the total travel distance. The distances between the cities are: A to B is 50 miles, B to C is 40 miles, and A to C is 70 miles. What is the shortest route she can take, considering the distances between the cities?","The shortest route Laura can take is to start at A, then go to B (50 miles), then to C (40 miles), and then back to A (70 miles). This makes for the shortest possible total of 160 miles. Going to C first would result in a total of 180 miles (A to C is 70 miles, C to B is 40 miles, B to A is 70 miles), which is longer. Hence, the order A-B-C-A is the optimal route.",A-B-C-A,A-C-B-A,B-A-C-B,C-A-B-C,Another answer,2
Operation of mechanisms,"In a room, there are three machines controlled by three switches outside the room. Each switch corresponds to one machine. However, it's unknown which switch controls which machine. You can only enter the room once after flipping the switches any number of times. The machines do not start up immediately and there is no way to identify from sounds or vibrations which switch corresponds to which machine. How do you identify which switch controls each machine with just one entry into the room?","Start by flipping Switch 1 and wait for a couple of minutes. Then flip it back to its original position and immediately flip Switch 2. Enter the room. One machine will be running (controlled by Switch 2), one machine will be warm but not running (controlled by Switch 1), and one machine will be at room temperature (controlled by Switch 3).",Flip all switches and immediately check the machines.,Flip each switch one by one and enter the room after each flip.,"Flip Switch 1, wait, flip it back, flip Switch 2, and then enter the room.",Leave all switches off and guess the corresponding machines.,Another answer,5
Spatial reasoning,"Imagine that you are in a large room shaped like a cube. Each wall, including the floor and the ceiling, is a door that can slide open. Initially, all doors are closed. Starting from the center of the room, you walk to the nearest wall, certain that it will slide open as you approach. Upon entering the next identical cubic room, you notice all doors close behind you and the only door that will open is the one directly across the room from where you entered. If you continue this pattern, moving straight ahead each time and passing through the doors that slide open for you in this infinite grid of cubic rooms, how many rooms do you pass through before you return to your original starting room?","You will never return to the original starting room following this pattern. Each time you walk through a door and enter a new room, you move one unit in that direction, and since the path is always straight, you never reverse direction or take a path that would loop back to the starting position.",You will return to the starting room after 4 rooms.,You will return to the starting room after 6 rooms.,You will never return to the starting room.,You will return to the starting room after 8 rooms.,Another answer,3
Operation of mechanisms,"Alex is testing three different types of machines, A, B, and C, that produce identical products. The only difference is their speed and error rate. Machine A produces 100 products per hour with a 2% error rate, Machine B produces 80 products per hour with a 1% error rate, and Machine C produces 120 products per hour with a 2.5% error rate. If Alex needs to have at least 500 error-free products by the end of the day (8 hours of work), which machine should he use to maximize production while still meeting the quality requirement?","Firstly calculate the number of error-free products each machine would produce in one hour, then multiply by 8 hours to find which meets the requirements. Machine A: 100 products, 2% error, so 98 error-free products per hour, 784 in 8 hours. Machine B: 80 products, 1% error, so 79.2 error-free products per hour, approximately 633 in 8 hours. Machine C: 120 products, 2.5% error, so 117 error-free products per hour, 936 in 8 hours. Machine C, despite the highest error rate, produces the most products while maintaining the requirement of at least 500 error-free products.",Machine A,Machine B,Machine C,None of the machines,Another answer,3
Spatial reasoning,"Imagine you have a 3x3x3 Rubik's Cube and there's a single ant at one corner of the cube that can only move along the edges. The ant wants to reach the diagonally opposite corner of the Rubik's Cube. However, it can only travel a maximum of 12 edges to get there. How many different paths can the ant take to reach the opposite corner, assuming it does not travel along the same edge more than once?","The ant has three edges to choose from for its first move. After the first move, it can choose two new edges for the second move. For the third move, it can only move to a new corner which has three new edges. The forth move will leave the ant with only two choices again, and the fifth move - the final move - will give three new edges to choose from, one of which leads to the destination corner. This sequence of moves has to be followed precisely; otherwise, the ant won't be able to reach diagonally opposite corner within 12 edges. Since the order of choosing edges matters, we're looking at a permutations problem: 3 (for the first move) x 2 (for the second) x 3 (for the third) x 2 (for the forth) x 3 (for the fifth) which equals 108. Therefore, there are 108 different paths that the ant can take.",36,72,108,144,Another answer,5
Classic riddles,"A farmer challenges you to use exactly four straight lines to cut a pizza into 10 equal-sized pieces. The lines must be straight, and you must use all four lines. How do you cut the pizza?","You can cut the pizza using four straight lines in such a way that creates 10 equal-sized pieces by following these steps: First, cut the pizza into four equal parts by making two straight lines in the form of a cross that intersects in the center of the pizza. Now you have four lines left. Next, make the third cut from the corner of one of the pieces to the opposite corner, but do it in such a manner that it touches the midpoint of the outer edge of the opposite piece. This will create three additional pieces. Repeat the same cut for the fourth line on the opposite side. You should now have two cuts forming an X over the original cross. Each of the four quarters of the pizza will be divided into two triangles and one smaller middle piece, giving you 10 equal pieces in total.",Cutting in a spiral from the outside to the middle.,Cutting into 10 equal triangle-shaped slices from the center,Cutting the pizza into quarters with two lines and then making two more lines that intersects diagonally at the center.,It is not possible to cut the pizza into 10 equal pieces with just four lines.,Another answer,3
Optimization of actions and planning,"You are planning a dinner party for 5 friends and want to serve them pizza. Each friend eats either 2 or 3 slices, and you don't know their individual preferences. You need to decide how many pizzas to order. Each pizza has 8 slices. You want to minimize the number of leftover slices while ensuring that everyone has enough to eat. How many pizzas should you order?","The minimum each friend can eat is 2 slices, so for 5 friends that's 10 slices. The maximum they can eat is 3 slices each, which is 15 slices. Since each pizza has 8 slices, ordering 2 pizzas (16 slices) would not be enough for the maximum scenario (15 slices needed), so you must order at least 3 pizzas to meet the maximum need. This gives you 24 slices, which is more than enough even in the maximum scenario, and you will have at most 9 slices left over (if everyone eats only 2 slices). Therefore, the optimal number of pizzas to order, considering minimizing leftovers, is 3.",2 Pizzas,3 Pizzas,4 Pizzas,5 Pizzas,Another answer,2
